word,image
shudder,images/shudder.jpg
squirm,images/aquirm.jpg
after all,images/afterall.jpg
sacs,images/sacs.jpg
burst,images/burst.jpg
hundreds of,images/hundredsof.gif
a set of,images/asetof.jpg
fang,images/fang.jpg
crawl,images/crawl.jpg
generally,images/generally.jpg
creatures,images/creatures.jpg
except,images/except.png
steep,images/steep.jpg
the fact is,images/thefactis.jpg
kinds of,images/kindsof.jpg
discovered,images/discovered.png
twice as many,images/twiceasmany.jpg
have it easy,images/haveiteasy.jpg
cobwebs,images/cobwebs.png
threads,images/threads.jpg
